Nº BO,Tipo Registro,Data,Hora,Tipo de BO,Natureza / Crime,Endereço,Município,UF,Nº Presos,Nº Apreensões s/ Prisão,Drogas TOTAL (kg),Cocaína/CH (kg),Pasta Base (kg),Maconha (kg),Crack (kg),Óxi (kg),Metanfetamina (kg),Ecstasy (comprimidos),Armas Apreend.,Munições Apreend.,Veículos Apreend.,Gasolina Boliviana (L),Diesel Boliviano (L),GLP (botijas),Cigarros (maços),Madeira Apreendida (m³),Desc. Celulares (un.),Desc. Roupas (un.),Mercadorias Descaminho (R$),Eletrônicos (un.),Embarcações (un.),Motor de Popa (un.),Ouro (g),Animais/Pescado (R$),Folha de Coca (kg),Dinheiro (R$),Meio,Ambiente,Destino dos Envolvidos,Latitude,Longitude,Descrição Resumida,Nacionalidade, Prejuízo Estimado (R$), Valor Estimado Descaminho (R$), Valor Estimado Veículos (R$), Multa (R$),Operação
3329902555,BO,07/08/2026,19:41:03,PA,CUMPRIMENTO DE MANDADO DE PRISÃO DE PESSOA MAIOR,,Alta Floresta D'Oeste,RO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0000","0,0000",0,0,0,0,0,0,0,0,0,0,Terrestre,Via pública,,"-11,9270804","-62,0097442",,Brasileira,0, R$  -   , R$  -   , R$  -   ,Brasil Contra o Crime Organizado Fronteira e Divisas
3343900314,BO,07/08/2026,17:38:50,PA,TRÁFICO DE DROGAS,,Ariquemes,RO,1,0,"0,366","0,366",0,0,0,0,0,0,0,0,0,0,0,2,"0,0000","0,0000",0,0,0,0,0,0,0,0,0,"4531,2",Terrestre,Residência,,"-9,9215051","-63,0151135",,Brasileira,"32581,2", R$  -   , R$  -   , R$  -   ,Brasil Contra o Crime Organizado Fronteira e Divisas
3343900312,BO,06/08/2026,18:57:22,PA,CUMPRIMENTO DE MANDADO DE PRISÃO DE PESSOA MAIOR / MANDADO DE RECAPTURA,,Ariquemes,RO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0000","0,0000",0,0,0,0,0,0,0,0,0,10,Terrestre,Residência,,"-9,9349408","-63,0203437",,Brasileira,10, R$  -   , R$  -   , R$  -   ,Brasil Contra o Crime Organizado Fronteira e Divisas
3381200209,PA,05/08/2026,19:27:52,PA,CUMPRIMENTO DE MANDADO DE PRISÃO DE PESSOA MAIOR,,Ariquemes,RO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0000","0,0000",0,0,0,0,0,0,0,0,0,0,Terrestre,Residência,,"-9,908159","-63,038044",,Brasileira,0, R$  -   , R$  -   , R$  -   ,Brasil Contra o Crime Organizado Fronteira e Divisas
3307000837,BO,02/08/2026,19:41:53,PA,ADULTERAÇÃO DE SINAL IDENTIFICADOR DE VEÍCULO AUTOMOTOR,,Porto Velho,RO,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"0,0000","0,0000",0,0,0,0,0,0,0,0,0,0,Terrestre,Via pública,,"-8,7624146","-63,819629",,Brasileira,9000, R$  -   ," R$  9.000,00 ", R$  -   ,Brasil Contra o Crime Organizado Fronteira e Divisas
3283700771,COP,02/08/2026,19:23:32,BO,PESCA EM LOCAL PROIBIDO / INTERDITADO POR ORGAO COMPETENTE (ART. 34 DA LEI 9.605/98) / USO DE PETRECHO DE PESCA PROIBIDO / APREENSAO DE ARTEFATOS EXPLOSIVOS ARTESANAIS,,Porto Velho,RO,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0000","0,0000",0,0,0,0,1,1,0,0,0,0,Fluvial,"Área fluvial (Rio Madeira, entorno da UHE Santo Antônio)",,"-8,797132","-63,949703",,Brasileira,30000, R$  -   ," R$  30.000,00 ", R$  -   ,Brasil Contra o Crime Organizado Fronteira e Divisas
3287900724,PA,30/07/2026,14:10:08,PA,"CUMPRIMENTO DE MANDADO DE PRISAO DE PESSOA MAIOR / FURTO QUALIFICADO (ART. 155, §4º, CP)",,Jaru,RO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0000","0,0000",0,0,0,0,0,0,0,0,0,0,Terrestre,Estabelecimento comercial (hotel),,"-10,428056","-62,475278",,Brasileira,0, R$  -   , R$  -   , R$  -   ,Brasil Contra o Crime Organizado Fronteira e Divisas
3381100056,BO,30/07/2026,22:16:37,PA,TRÁFICO DE DROGAS / DESOBEDIÊNCIA,,Machadinho D'Oeste,RO,2,0,"0,001",0,0,"0,001",0,0,0,0,0,0,0,0,0,0,"0,0000","0,0000",0,0,0,0,0,0,0,0,0,1629,Terrestre,Residência,,"-9,423025","-61,99125",,Brasileira,1634, R$  -   , R$  -   , R$  -   ,Brasil Contra o Crime Organizado Fronteira e Divisas
3284800434,COP,29/07/2026,9:02:56,COP,Descaminho (art. 334 do Código Penal),,Porto Velho,RO,0,1,0,0,0,0,0,0,0,,0,0,1,0,0,0,"0,0000","0,0000",0,0,"R$ 0,00",2,0,0,0,"R$ 0,00",0,"R$ 0,00",Fluvial,Zona rural,,"-9,94687","-66,666124",,Internacional," R$  783.400,00 "," R$  723.400,00 "," R$  60.000,00 ",,Brasil Contra o Crime Organizado Fronteira e Divisas
3279401497,BO,29/07/2026,20:50:30,PA,"Art. 121 do CP - Homicídio Doloso (Tentado) / Lei 10.826/03, Art. 14 - Porte ilegal de arma de fogo de uso permitido / Art. 329 do CP - Resistência / Art. 330 do CP - Desobediência / Art. 180 do CP - Receptação / Art. 309 do CTB - Direção Perigosa",,Porto Velho,RO,1,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,"0,0000","0,0000",0,0,0,0,0,0,0,0,0,0,Terrestre,Via pública,,"-8,778612","-63,855716",,Brasileira," R$  20.500,00 ", R$  -   ," R$  15.000,00 ",,Brasil Contra o Crime Organizado Fronteira e Divisas
982570,COP,29/07/2026,18:54:44,PA,TENTATIVA DE HOMICÍDIO / AMEAÇA / RESISTÊNCIA,,Machadinho D'Oeste,RO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0000","0,0000",0,0,0,0,0,0,0,0,0,0,Terrestre,Residência,,"-9,4201866","-61,9901175",,Brasileira,0, R$  -   , R$  -   , R$  -   ,Brasil Contra o Crime Organizado Fronteira e Divisas
3284600912,PA,28/07/2026,15:15:21,PA,Recaptura de Foragido / Cumprimento de Mandado de Prisão (art. 33 da Lei 11.343/2006),,Guajará-Mirim,RO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0000","0,0000",0,0,0,0,0,0,0,0,"R$ 0,00",0,Terrestre,Via pública,,"-10,793232","-65,347241",,Brasileira, R$  -   , R$  -   , R$  -   ,,Brasil Contra o Crime Organizado Fronteira e Divisas
